# Scholarly publications on artificial intelligence
# total: annual count of AI publications; per_million: same, per million population
# Original source: Stanford AI Index Report, via Our World in Data
# Compiled by Muhammad Ikram, https://drmuhammadikram.com/data/ai-research/
# Free to use. Please cite the original source and this compilation.
iso_numeric,country,year,total,per_million
004,Afghanistan,2017,1.0,0.028
004,Afghanistan,2018,2.0,0.054
004,Afghanistan,2019,8.0,0.211
004,Afghanistan,2020,11.0,0.282
004,Afghanistan,2021,16.0,0.4
004,Afghanistan,2022,47.0,1.158
004,Afghanistan,2023,45.0,1.086
004,Afghanistan,2024,72.0,1.688
008,Albania,2016,15.0,5.176
008,Albania,2017,26.0,8.971
008,Albania,2018,21.0,7.256
008,Albania,2019,19.0,6.586
008,Albania,2020,18.0,6.268
008,Albania,2021,37.0,12.984
008,Albania,2022,37.0,13.085
008,Albania,2023,66.0,23.474
008,Albania,2024,69.0,24.716
012,Algeria,2016,520.0,12.729
012,Algeria,2017,512.0,12.281
012,Algeria,2018,703.0,16.539
012,Algeria,2019,638.0,14.736
012,Algeria,2020,699.0,15.871
012,Algeria,2021,812.0,18.141
012,Algeria,2022,973.0,21.395
012,Algeria,2023,931.0,20.167
012,Algeria,2024,1228.0,26.231
024,Angola,2016,2.0,0.069
024,Angola,2017,2.0,0.066
024,Angola,2018,1.0,0.032
024,Angola,2019,6.0,0.185
024,Angola,2020,4.0,0.12
024,Angola,2021,2.0,0.058
024,Angola,2022,20.0,0.561
024,Angola,2023,28.0,0.762
024,Angola,2024,15.0,0.396
031,Azerbaijan,2016,34.0,3.445
031,Azerbaijan,2017,24.0,2.408
031,Azerbaijan,2018,53.0,5.279
031,Azerbaijan,2019,47.0,4.649
031,Azerbaijan,2020,53.0,5.205
031,Azerbaijan,2021,84.0,8.208
031,Azerbaijan,2022,87.0,8.45
031,Azerbaijan,2023,131.0,12.696
031,Azerbaijan,2024,132.0,12.77
032,Argentina,2016,220.0,5.011
032,Argentina,2017,229.0,5.171
032,Argentina,2018,283.0,6.337
032,Argentina,2019,256.0,5.692
032,Argentina,2020,339.0,7.501
032,Argentina,2021,317.0,6.996
032,Argentina,2022,233.0,5.131
032,Argentina,2023,295.0,6.478
032,Argentina,2024,289.0,6.324
036,Australia,2016,3060.0,125.771
036,Australia,2017,3231.0,130.646
036,Australia,2018,4029.0,160.392
036,Australia,2019,4998.0,196.133
036,Australia,2020,6056.0,235.241
036,Australia,2021,6762.0,260.514
036,Australia,2022,6338.0,241.899
036,Australia,2023,7771.0,293.787
036,Australia,2024,7605.0,284.691
040,Austria,2016,953.0,109.065
040,Austria,2017,1000.0,113.652
040,Austria,2018,1157.0,130.858
040,Austria,2019,1398.0,157.417
040,Austria,2020,1587.0,177.887
040,Austria,2021,1811.0,201.962
040,Austria,2022,1887.0,208.171
040,Austria,2023,1985.0,217.405
040,Austria,2024,1801.0,197.46
048,Bahrain,2016,20.0,13.99
048,Bahrain,2017,14.0,9.447
048,Bahrain,2018,33.0,22.035
048,Bahrain,2019,37.0,24.905
048,Bahrain,2020,61.0,41.131
048,Bahrain,2021,111.0,73.913
048,Bahrain,2022,164.0,106.948
048,Bahrain,2023,196.0,124.867
048,Bahrain,2024,271.0,168.631
050,Bangladesh,2016,308.0,1.915
050,Bangladesh,2017,475.0,2.929
050,Bangladesh,2018,659.0,4.03
050,Bangladesh,2019,1116.0,6.767
050,Bangladesh,2020,1357.0,8.16
050,Bangladesh,2021,2022.0,12.06
050,Bangladesh,2022,1881.0,11.105
050,Bangladesh,2023,2565.0,14.959
050,Bangladesh,2024,3185.0,18.351
051,Armenia,2016,10.0,3.426
051,Armenia,2017,26.0,8.919
051,Armenia,2018,22.0,7.56
051,Armenia,2019,17.0,5.854
