# Oil refining capacity, throughput and utilisation
# capacity_kbd and throughput_kbd in thousand barrels per day; utilisation in percent
# Original source: Energy Institute Statistical Review of World Energy
# Compiled by Muhammad Ikram, https://drmuhammadikram.com/data/refining/
# Free to use. Please cite the original source and this compilation.
iso_numeric,country,year,capacity_kbd,throughput_kbd,utilisation_pct
012,Algeria,1965,54.22,,
012,Algeria,1966,54.22,,
012,Algeria,1967,54.22,,
012,Algeria,1968,54.22,,
012,Algeria,1969,54.22,,
012,Algeria,1970,57.74,,
012,Algeria,1971,57.74,,
012,Algeria,1972,116.28,,
012,Algeria,1973,116.28,,
012,Algeria,1974,116.28,,
012,Algeria,1975,116.28,,
012,Algeria,1976,116.28,,
012,Algeria,1977,116.28,,
012,Algeria,1978,110.0,,
012,Algeria,1979,134.0,,
012,Algeria,1980,440.0,226.31,51.43
012,Algeria,1981,440.0,307.26,69.83
012,Algeria,1982,440.0,411.68,93.56
012,Algeria,1983,440.0,377.55,85.81
012,Algeria,1984,440.0,410.56,93.31
012,Algeria,1985,440.0,407.67,92.65
012,Algeria,1986,434.0,434.46,100.11
012,Algeria,1987,434.0,411.52,94.82
012,Algeria,1988,434.0,436.3,100.53
012,Algeria,1989,434.0,416.81,96.04
012,Algeria,1990,434.0,421.08,97.02
012,Algeria,1991,434.0,421.81,97.19
012,Algeria,1992,434.0,423.18,97.51
012,Algeria,1993,434.0,419.58,96.68
012,Algeria,1994,434.0,396.1,91.27
012,Algeria,1995,434.0,407.95,94.0
012,Algeria,1996,434.0,386.67,89.09
012,Algeria,1997,434.0,413.19,95.21
012,Algeria,1998,434.0,385.28,88.77
012,Algeria,1999,434.0,439.16,101.19
012,Algeria,2000,434.0,427.54,98.51
012,Algeria,2001,434.0,446.39,102.85
012,Algeria,2002,434.0,434.3,100.07
012,Algeria,2003,434.0,439.76,101.33
012,Algeria,2004,442.97,365.53,82.52
012,Algeria,2005,442.97,355.94,80.35
012,Algeria,2006,442.97,381.78,86.19
012,Algeria,2007,442.97,391.36,88.35
012,Algeria,2008,444.5,429.41,96.6
012,Algeria,2009,554.27,475.16,85.73
012,Algeria,2010,554.27,548.14,98.89
012,Algeria,2011,652.35,520.49,79.79
012,Algeria,2012,652.35,478.49,73.35
012,Algeria,2013,646.55,492.13,76.12
012,Algeria,2014,650.86,614.8,94.46
012,Algeria,2015,650.86,590.54,90.73
012,Algeria,2016,650.86,584.18,89.75
